size,bubblesort,heapsort,fabsort
2,0.000000,0.000001,0.000023
4,0.000001,0.000000,0.000021
8,0.000001,0.000000,0.000040
16,0.000000,0.000001,0.000078
32,0.000003,0.000002,0.000169
64,0.000008,0.000003,0.000243
128,0.000026,0.000007,0.000389
256,0.000111,0.000016,0.000849
512,0.000303,0.000038,0.002012
1024,0.001094,0.000082,0.003268
2048,0.004343,0.000148,0.011787
4096,0.016562,0.000335,0.020099
8192,0.064281,0.000768,0.032899
16384,0.350188,0.001895,0.069791
32768,1.754291,0.003690,0.146779
65536,7.399025,0.006554,0.273683
131072,31.813123,0.015449,0.621592
